"","abuse_ratio","lambda_0.1","lambda_0.2","lambda_0.3","lambda_0.4","lambda_0.5","lambda_0.6","lambda_0.7","lambda_0.8","lambda_0.9"
"1",0,1.38361664287475,1.32736288557802,1.35930821450104,1.35363825065636,1.35862516252644,1.38744616112122,1.33924356274727,1.37340881058773,1.39896317635955
"2",0.1,1.31445130589155,1.35235752820399,1.34054009658794,1.31461574432988,1.33302968714504,1.27685814906747,1.25947827104718,1.25494040260484,1.27444533121276
"3",0.2,1.32836216531863,1.30791487796798,1.58244168848018,1.29074687255093,1.29000057502313,1.31388209591272,1.29223314305121,1.30071437173578,1.26585342281008
"4",0.3,1.35520357809814,6.28107400250944,1.44672305586107,1.33686869222448,1.26513242350356,1.34113460478805,1.30158399809232,1.29617650329344,1.27125459305365
"5",0.4,1.35086493314839,1.35462804356399,1.34191568737011,1.33120189065746,1.31940027042971,1.35230060720611,1.28853011591115,1.18512363642364,1.23412629104561
"6",0.5,1.38719001663074,1.37005995854561,1.3923856388264,1.72001974036346,1.2781262224092,1.31208275992408,1.29303319929923,1.25099704236261,1.17294254287667
"7",0.6,1.37083471657235,1.41813922809081,1.39934897423409,1.84218485093109,1.36874128876132,1.69575874615465,1.25938656499504,1.25704015497119,1.19600819612994
"8",0.7,1.39910547885426,1.38358502009815,1.41142255034061,3.75180527296527,1.34562503906549,1.3551909289875,1.25171804166913,1.25257185663737,1.18611659160894
"9",0.8,1.44438613267021,1.51548362130377,1.61870668868699,1.63064112457647,1.60289530038615,1.58925323456018,1.57546886623951,1.47015869560058,1.37005679626795
"10",0.9,1.58594865440531,1.68543707187186,1.80001587833274,1.95549242177258,5.96986160886163,1.79631601347035,1.71033684616803,1.58153411479171,1.44852871640503
